full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT
"   11P/Tempel-Swift-LINEAR",.54491240285974,1.553578679370059,13.55352223000043,240.5247361135055,163.8995560777387,5.274024134385549,20080504.6575488,6.30762087538285,JFc,4919,0,97,,1.69604151036797E-9,-1.297849607809387E-10,,
"   12P/Pons-Brooks",.9542202409863804,.7780186522514184,74.7037493144222,255.9595132752626,199.0936340963835,33.21161646225214,19540523.1759312,70.0620696485467,HTC,75909,0,393,,2.962808270929297E-9,-2.711607195758214E-10,,
"   13P/Olbers",0.930297147462082,1.17845061442612,44.609885733805,86.10312835462277,64.64120651677283,32.63510425508353,19560619.1353310,69.5183499778236,HTC,51679,,91,,9.451067991051224E-9,6.487207540562958E-10,,
"   14P/Wolf",.3574819125650833,2.728580133624865,27.94266231240148,202.1079110296776,159.1911756283212,5.764815420476962,20090227.6140927,8.75155516165655,JFc,10040,0,359,,,,,
"   15P/Finlay",.7204670323736734,.9746503145016036,6.803655945058429,13.80063967391148,347.5656143942961,5.998769119906535,20141226.9345877,6.51076305456347,JFc,2841,0,1136,,7.829547989193548E-10,2.826333351821679E-10,1.81216348966542E-9,
"   16P/Brooks 2",.5632234095202744,1.466792470259358,4.261187225367249,159.2804324225749,219.7488417157946,5.249650224841738,20140607.7433622,6.15420812539407,JFc,30105,0,403,,3.668540211233309E-9,-1.49777963572744E-9,,
"   17P/Holmes",.4317913340624554,2.056631512288014,19.09176274726408,326.7648598665065,24.51604191625368,5.182369353334376,20140327.5125042,6.88622409465133,JFc,3478,0,1593,,2.485104967268744E-9,2.671949794945759E-9,8.081603486442451E-10,
"   18D/Perrine-Mrkos",0.642580982439164,1.27224808138711,17.7589827722319,240.8755466309168,166.0504171249452,5.84683634825191,19681101.5421334,6.71582582329104,JFc,2584,1,16,,,,,
"   19P/Borrelly",.6232892711821078,1.359799738782305,30.31307021679391,75.43597686258941,353.3506872274951,5.859531354066145,20010914.2536303,6.85817635449295,JFc,15925,0,2845,,1.895695530204052E-9,-7.833075347206687E-11,2.854308247393968E-10,-47.24576827269382
"   20D/Westphal",0.919831188993609,1.2540127619273,40.8900610587027,348.0064469311446,57.08095497141959,30.03029209890796,19131126.7902559,61.8661332756055,HTC,22321,0,201,,,,,
"   21P/Giacobini-Zinner",.7104663125616585,1.013501217647592,32.00310320419106,195.4052529144569,172.8087008849619,5.987419653526856,20180910.2654298,6.54931625541302,JFc,3196,0,1983,,3.107394081007322E-9,-1.848644841277313E-9,-1.815642064993985E-9,-32.77074470563737
"   22P/Kopff",.5441848835414173,1.576085499489762,4.723924257820427,120.8750686455848,162.7019154398944,5.33937404794704,20090524.9545883,6.42976020786827,JFc,4386,0,3454,,5.191488359727642E-10,-3.855734101056092E-10,-1.374537259741602E-9,-220.9653082012393
"   23P/Brorsen-Metcalf",0.9719522579248509597249,0.4787527107248574775866,19.333940469818628571374,311.5854622141069,129.6106836788667,33.65966095851974,19890911.9374331,70.5225834969236,HTC,51904,0,223,,2.24654685575494E-9,-5.326929396349485E-10,,
"   24P/Schaumasse",.7048377385790582,1.20616902407146,11.73397999992298,79.66577775476655,58.00232148852397,6.966752664933339,20171116.7608171,8.26093519448952,JFc,6464,3,832,,1.051463131828431E-9,-9.955924243239296E-10,,
"   25D/Neujmin 2",0.566818596285863,1.33816964707983,10.6387130963875,328.7169509657245,193.7040335562024,4.840164120742355,19270116.2241141,5.42963027852721,JFc,3994,1,55,,,,,
"   26P/Grigg-Skjellerup",.6330527671345312,1.116736323909562,22.35649066304651,211.710319637668,1.704070781269587,4.969895343477792,20080323.6790246,5.30919578072805,JFc,19278,0,635,,1.607514810981455E-10,-1.042381945690657E-11,,
"   27P/Crommelin",.9189810923126022,.748287467144728,28.96687278723059,250.6264098390235,196.0253968913816,17.723634421309,20110803.8910902,28.0692839516353,HTC,259,6,154,,-3.653645033749881E-8,-1.713114322066723E-9,2.081362723681325E-9,
"   28P/Neujmin 1",.7746937898619149,1.559012960544791,14.39350385234331,346.2984795875178,347.728486205045,12.28004597697236,20021228.2677952,18.2021650103434,JFc,19782,0,485,,,,,
"   29P/Schwassmann-Wachmann 1",.04479441386835804,5.724580120632891,9.386600757977568,312.6187415439654,49.72203652292504,6.261489064360247,20040721.7195964,14.6716304361977,JFc,8532,0,30028,,,,,
"   30P/Reinmuth 1",.5016105669476711,1.880973739593776,8.126270446090473,119.7278627210677,13.14619850371807,5.667235009833226,20100419.7656489,7.33211152543363,JFc,3219,0,1814,,6.253789742738166E-9,-7.729817830153179E-11,,
"   31P/Schwassmann-Wachmann 2",.1928610552519618,3.424317753786349,4.546617685676369,114.1885381465665,17.92986529995997,5.060758517326567,20100929.4588969,8.73870008524958,JFc,7121,0,1000,,1.829839428080619E-8,-5.33348501397671E-8,,
"   32P/Comas Sola",.5546485799036236,2.008565194966582,9.968516517217138,57.84360276824752,53.30658848884395,7.011570833933551,20141019.7008873,9.57817657976511,JFc,4341,0,3117,,-8.192712790761601E-9,7.535444540844812E-10,-1.059058070811059E-9,-187.2547654147808
"   33P/Daniel",.4623598055003007,2.166724187043418,22.3861446076708,66.54083550078751,18.905300691195,5.893403047527135,20080720.4109348,8.09051290592239,JFc,6347,1,403,,3.115296971165556E-9,4.706573638645926E-10,2.556290398772548E-9,
"   34D/Gale",0.760719,1.182907,11.7281,67.9235,209.1572,8.7042717,19380618.4832000,11,JFc,,,47,F,,,,
"   35P/Herschel-Rigollet",0.97405,0.74849,64.207,355.980,29.298,56.9386006,19390809.4640000,155,HTC,,,75,F,,,,
"   36P/Whipple",.2591462074721685,3.088259362363905,9.932581139878453,182.398835502527,202.2127324759689,5.248768519552184,20030706.6463704,8.51099018466956,JFc,26111,0,599,,4.489477391656978E-9,-5.253268897731884E-10,,
"   37P/Forbes",.534476713071357,1.608848221279094,8.962090696248872,314.6396914009586,330.0006658552098,5.303150668803085,20180504.1475418,6.42493440862548,JFc,2866,1,1199,,7.651259896896437E-9,2.248157289476107E-10,7.030582210894037E-10,-40.71518104792003
"   38P/Stephan-Oterma",.859286285876197,1.588505048173736,18.3529465228447,78.00036419278668,359.5886765534911,20.98932338973012,20181110.9873435,37.9303160767358,HTC,28321,0,3265,,,-2.68703931765036E-11,,
"   39P/Oterma",.2431247686159108,5.460125140523424,1.951228375243417,332.1707230932955,55.93030105403736,8.967946790271707,19830616.9977309,19.3765144697127,CTc,28262,0,245,,,,,
"   40P/Vaisala 1",.6316152020645802,1.819771156172117,11.49264281940788,133.8401678570807,47.28885502172881,8.059958769551553,20141115.8423501,10.9794558818843,JFc,27930,0,1128,,3.617306196664066E-10,-1.091448490022975E-10,9.359621633790277E-11,
"   41P/Tuttle-Giacobini-Kresak",.6612506884287184,1.0450427369138,9.229131696230207,141.066286210229,62.15858521740492,5.124963820834708,20170412.7522549,5.41865682628637,JFc,262,2,4259,,4.809399488599843E-9,-8.166515235194353E-10,1.47032014107612E-9,11.40671877972504
"   42P/Neujmin 3",.5841747519155726,2.027755196838527,3.984591946246174,150.279966816504,147.120393793131,7.725164839545697,20150408.2095539,10.7687477482499,JFc,15880,0,297,,1.267969358459133E-8,-1.047094835047333E-9,-1.640862283472756E-9,77.07626509628521
"   43P/Wolf-Harrington",.5949096247356784,1.357094479295572,15.97248249331635,249.8663360818902,191.5591866853453,5.343111510096635,20160819.4179840,6.13190532556299,JFc,2939,0,1636,,3.575587830954031E-9,2.400491171836983E-10,,
"   44P/Reinmuth 2",.4269227933819214,2.116251327143552,5.895253569046006,286.4826633022792,58.3481931378514,5.269320120139312,20150324.0918740,7.09642087078555,JFc,4692,0,859,,7.69176633168077E-10,-5.522986368588859E-10,6.936819434989004E-10,-133.3854375596532
"   45P/Honda-Mrkos-Pajdusakova",.8239728768241841,.5325129856954378,4.248163257767544,88.98173256883967,326.2819909297767,5.517838529321526,20161231.2657470,5.2617973693737,JFc,203,2,1672,,6.941986037986159E-9,-7.411515908822887E-10,3.52361517202093E-10,
"   46P/Wirtanen",.6587595570783943,1.055355764253904,11.74759116219177,82.15764001105799,356.3410920516584,5.130052713230428,20181212.9312015,5.43895901998447,JFc,414,2,4125,,3.318435588414734E-9,-1.256386330832006E-9,8.087734096299872E-10,
"   47P/Ashbrook-Jackson",.3171675842332894,2.818247659006634,13.02987725094421,356.9743281840909,357.6642778648413,5.436333095898497,20170610.1548480,8.3850516031867,JFc,2129,3,1077,,-1.801045050686222E-8,-3.758800221155857E-10,9.155921859902385E-10,
